name,trend
BRAYLEY,1
BRAYLIN,2
BRAYLYN,1
BRAYLYNN,1
BREA,1
BREAN,1
BREAUN,1
BRECHIN,1
BRECK,2
BRECKEN,2
BRECKIN,1
BRECKYN,2
BRECON,1
BREECE,2
BREES,1
BREEZE,1
BREINDEL,1
BREION,1
BREKKAN,1
BREKKYN,1
BREKYN,2
BRELAND,1
BREN,1
BRENDA,1
BRENDELL,1
BRENDYN,1
BRENLEY,1
BRENN,2
BRENNAN,1
BRENNEN,1
BRENNIN,1
BRENNYN,2
BRENTLEE,1
BRENYN,2
BREONTE,1
BRESHAWN,1
BRESLIN,1
BRET,1
BRETON,1
BRETT,1
BRETTAN,1
BRETTE,1
BRETTLEY,1
BRETTON,1
BREYAN,1
BREYLIN,1
BREYON,1
BRIAN,1
BRIANE,2
BRIAR,1
BRIDGE,1
BRIELLE,1
BRIER,2
BRIGGS,1
BRIGHTEN,2
BRIGHTON,2
BRILEE,1
BRILEY,3
BRILYN,2
BRIN,1
BRINLEY,1
BRINN,1
BRINSLEY,1
BRIO,1
BRIONE,1
BRISTOL,1
BRITAIN,2
BRITAN,1
BRITISH,1
BRITT,2
BRITTAIN,1
BRITTAN,2
BRITTEN,2
BRITTIAN,1
BRITTIN,1
BRITTON,2
BRITTYN,1
BRITYN,1
BRIXTON,2
BROCK,1
